as_of,ticker
2005-03-01,NVDA
2005-03-01,OCLR
2005-03-01,ORCL
2005-03-01,PSTG
2005-03-01,QCOM
2005-03-01,QTS
2005-03-01,SNDK
2005-03-01,STX
2005-03-01,TSM
2005-03-01,VRT
2005-03-01,WDC
2005-03-01,XLNX
2005-04-01,ACIA
2005-04-01,ALTR
2005-04-01,AMAT
2005-04-01,AMD
2005-04-01,AMKR
2005-04-01,ANET
2005-04-01,ARM
2005-04-01,ASML
2005-04-01,AVGO
2005-04-01,CAVM
2005-04-01,CONE
2005-04-01,COR
2005-04-01,CRM
2005-04-01,CSCO
2005-04-01,CY
2005-04-01,DFT
2005-04-01,DLR
2005-04-01,EMC
2005-04-01,EQIX
2005-04-01,ETN
2005-04-01,FNSR
2005-04-01,GEV
2005-04-01,INPHI
2005-04-01,INTC
2005-04-01,KLAC
2005-04-01,LRCX
2005-04-01,MLNX
2005-04-01,MRVL
2005-04-01,MSFT
2005-04-01,MU
2005-04-01,NOW
2005-04-01,NTAP
2005-04-01,NVDA
2005-04-01,OCLR
2005-04-01,ORCL
2005-04-01,PSTG
2005-04-01,QCOM
2005-04-01,QTS
2005-04-01,SNDK
2005-04-01,STX
2005-04-01,TSM
2005-04-01,VRT
2005-04-01,WDC
2005-04-01,XLNX
2005-05-01,ACIA
2005-05-01,ALTR
2005-05-01,AMAT
2005-05-01,AMD
2005-05-01,AMKR
2005-05-01,ANET
2005-05-01,ARM
2005-05-01,ASML
2005-05-01,AVGO
2005-05-01,CAVM
2005-05-01,CONE
2005-05-01,COR
2005-05-01,CRM
2005-05-01,CSCO
2005-05-01,CY
2005-05-01,DFT
2005-05-01,DLR
2005-05-01,EMC
2005-05-01,EQIX
2005-05-01,ETN
2005-05-01,FNSR
2005-05-01,GEV
2005-05-01,INPHI
2005-05-01,INTC
2005-05-01,KLAC
2005-05-01,LRCX
2005-05-01,MLNX
2005-05-01,MRVL
2005-05-01,MSFT
2005-05-01,MU
2005-05-01,NOW
2005-05-01,NTAP
2005-05-01,NVDA
2005-05-01,OCLR
2005-05-01,ORCL
2005-05-01,PSTG
2005-05-01,QCOM
2005-05-01,QTS
2005-05-01,SNDK
2005-05-01,STX
2005-05-01,TSM
2005-05-01,VRT
2005-05-01,WDC
2005-05-01,XLNX
2005-06-01,ACIA
2005-06-01,ALTR
2005-06-01,AMAT
2005-06-01,AMD
2005-06-01,AMKR
2005-06-01,ANET
2005-06-01,ARM
2005-06-01,ASML
2005-06-01,AVGO
2005-06-01,CAVM
2005-06-01,CONE
2005-06-01,COR
2005-06-01,CRM
2005-06-01,CSCO
2005-06-01,CY
2005-06-01,DFT
2005-06-01,DLR
2005-06-01,EMC
2005-06-01,EQIX
2005-06-01,ETN
2005-06-01,FNSR
2005-06-01,GEV
2005-06-01,INPHI
2005-06-01,INTC
2005-06-01,KLAC
2005-06-01,LRCX
2005-06-01,MLNX
2005-06-01,MRVL
2005-06-01,MSFT
2005-06-01,MU
2005-06-01,NOW
2005-06-01,NTAP
2005-06-01,NVDA
2005-06-01,OCLR
2005-06-01,ORCL
2005-06-01,PSTG
2005-06-01,QCOM
2005-06-01,QTS
2005-06-01,SNDK
2005-06-01,STX
2005-06-01,TSM
2005-06-01,VRT
2005-06-01,WDC
2005-06-01,XLNX
2005-07-01,ACIA
2005-07-01,ALTR
2005-07-01,AMAT
2005-07-01,AMD
2005-07-01,AMKR
2005-07-01,ANET
2005-07-01,ARM
2005-07-01,ASML
2005-07-01,AVGO
2005-07-01,CAVM
2005-07-01,CONE
2005-07-01,COR
2005-07-01,CRM
2005-07-01,CSCO
2005-07-01,CY
2005-07-01,DFT
2005-07-01,DLR
2005-07-01,EMC
2005-07-01,EQIX
2005-07-01,ETN
2005-07-01,FNSR
2005-07-01,GEV
2005-07-01,INPHI
2005-07-01,INTC
2005-07-01,KLAC
2005-07-01,LRCX
2005-07-01,MLNX
2005-07-01,MRVL
2005-07-01,MSFT
2005-07-01,MU
2005-07-01,NOW
2005-07-01,NTAP
2005-07-01,NVDA
2005-07-01,OCLR
2005-07-01,ORCL
2005-07-01,PSTG
2005-07-01,QCOM
2005-07-01,QTS
2005-07-01,SNDK
2005-07-01,STX
2005-07-01,TSM
2005-07-01,VRT
2005-07-01,WDC
2005-07-01,XLNX
2005-08-01,ACIA
2005-08-01,ALTR
2005-08-01,AMAT
2005-08-01,AMD
2005-08-01,AMKR
2005-08-01,ANET
2005-08-01,ARM
2005-08-01,ASML
2005-08-01,AVGO
2005-08-01,CAVM
2005-08-01,CONE
2005-08-01,COR
2005-08-01,CRM
2005-08-01,CSCO
2005-08-01,CY
2005-08-01,DFT
2005-08-01,DLR
2005-08-01,EMC
2005-08-01,EQIX
2005-08-01,ETN
2005-08-01,FNSR
2005-08-01,GEV
2005-08-01,INPHI
2005-08-01,INTC
2005-08-01,KLAC
2005-08-01,LRCX
2005-08-01,MLNX
2005-08-01,MRVL
2005-08-01,MSFT
2005-08-01,MU
2005-08-01,NOW
2005-08-01,NTAP
2005-08-01,NVDA
2005-08-01,OCLR
2005-08-01,ORCL
2005-08-01,PSTG
2005-08-01,QCOM
2005-08-01,QTS
2005-08-01,SNDK
2005-08-01,STX
2005-08-01,TSM
2005-08-01,VRT
2005-08-01,WDC
2005-08-01,XLNX
2005-09-01,ACIA
2005-09-01,ALTR
2005-09-01,AMAT
2005-09-01,AMD
2005-09-01,AMKR
2005-09-01,ANET
2005-09-01,ARM
2005-09-01,ASML
2005-09-01,AVGO
2005-09-01,CAVM
2005-09-01,CONE
2005-09-01,COR
2005-09-01,CRM
2005-09-01,CSCO
2005-09-01,CY
2005-09-01,DFT
2005-09-01,DLR
2005-09-01,EMC
2005-09-01,EQIX
2005-09-01,ETN
2005-09-01,FNSR
2005-09-01,GEV
2005-09-01,INPHI
2005-09-01,INTC
2005-09-01,KLAC
2005-09-01,LRCX
2005-09-01,MLNX
2005-09-01,MRVL
2005-09-01,MSFT
2005-09-01,MU
2005-09-01,NOW
2005-09-01,NTAP
2005-09-01,NVDA
2005-09-01,OCLR
2005-09-01,ORCL
2005-09-01,PSTG
2005-09-01,QCOM
2005-09-01,QTS
2005-09-01,SNDK
2005-09-01,STX
2005-09-01,TSM
2005-09-01,VRT
2005-09-01,WDC
2005-09-01,XLNX
2005-10-01,ACIA
2005-10-01,ALTR
2005-10-01,AMAT
2005-10-01,AMD
2005-10-01,AMKR
2005-10-01,ANET
2005-10-01,ARM
2005-10-01,ASML
2005-10-01,AVGO
2005-10-01,CAVM
2005-10-01,CONE
2005-10-01,COR
2005-10-01,CRM
2005-10-01,CSCO
2005-10-01,CY
2005-10-01,DFT
2005-10-01,DLR
2005-10-01,EMC
2005-10-01,EQIX
2005-10-01,ETN
2005-10-01,FNSR
2005-10-01,GEV
2005-10-01,INPHI
2005-10-01,INTC
2005-10-01,KLAC
2005-10-01,LRCX
2005-10-01,MLNX
2005-10-01,MRVL
2005-10-01,MSFT
2005-10-01,MU
2005-10-01,NOW
2005-10-01,NTAP
2005-10-01,NVDA
2005-10-01,OCLR
2005-10-01,ORCL
2005-10-01,PSTG
2005-10-01,QCOM
2005-10-01,QTS
2005-10-01,SNDK
2005-10-01,STX
2005-10-01,TSM
2005-10-01,VRT
2005-10-01,WDC
2005-10-01,XLNX
2005-11-01,ACIA
2005-11-01,ALTR
2005-11-01,AMAT
2005-11-01,AMD
2005-11-01,AMKR
2005-11-01,ANET
2005-11-01,ARM
2005-11-01,ASML
2005-11-01,AVGO
2005-11-01,CAVM
2005-11-01,CONE
2005-11-01,COR
2005-11-01,CRM
2005-11-01,CSCO
2005-11-01,CY
2005-11-01,DFT
2005-11-01,DLR
2005-11-01,EMC
2005-11-01,EQIX
2005-11-01,ETN
2005-11-01,FNSR
2005-11-01,GEV
2005-11-01,INPHI
2005-11-01,INTC
2005-11-01,KLAC
2005-11-01,LRCX
2005-11-01,MLNX
2005-11-01,MRVL
2005-11-01,MSFT
2005-11-01,MU
2005-11-01,NOW
2005-11-01,NTAP
2005-11-01,NVDA
2005-11-01,OCLR
2005-11-01,ORCL
2005-11-01,PSTG
2005-11-01,QCOM
2005-11-01,QTS
2005-11-01,SNDK
2005-11-01,STX
2005-11-01,TSM
2005-11-01,VRT
2005-11-01,WDC
2005-11-01,XLNX
2005-12-01,ACIA
2005-12-01,ALTR
2005-12-01,AMAT
2005-12-01,AMD
2005-12-01,AMKR
2005-12-01,ANET
2005-12-01,ARM
2005-12-01,ASML
2005-12-01,AVGO
2005-12-01,CAVM
2005-12-01,CONE
2005-12-01,COR
2005-12-01,CRM
2005-12-01,CSCO
2005-12-01,CY
2005-12-01,DFT
2005-12-01,DLR
2005-12-01,EMC
2005-12-01,EQIX
2005-12-01,ETN
