as_of,ticker
2021-03-01,NFLX
2021-03-01,NTES
2021-03-01,NVDA
2021-03-01,NXPI
2021-03-01,OKTA
2021-03-01,ORLY
2021-03-01,PAYX
2021-03-01,PCAR
2021-03-01,PDD
2021-03-01,PEP
2021-03-01,PTON
2021-03-01,PYPL
2021-03-01,QCOM
2021-03-01,REGN
2021-03-01,ROST
2021-03-01,SBUX
2021-03-01,SGEN
2021-03-01,SIRI
2021-03-01,SNPS
2021-03-01,SPLK
2021-03-01,SWKS
2021-03-01,TCOM
2021-03-01,TEAM
2021-03-01,TMUS
2021-03-01,TSLA
2021-03-01,TXN
2021-03-01,VRSK
2021-03-01,VRSN
2021-03-01,VRTX
2021-03-01,WBA
2021-03-01,WDAY
2021-03-01,XEL
2021-03-01,XLNX
2021-03-01,ZM
2021-04-01,AAPL
2021-04-01,ADBE
2021-04-01,ADI
2021-04-01,ADP
2021-04-01,ADSK
2021-04-01,AEP
2021-04-01,ALGN
2021-04-01,ALXN
2021-04-01,AMAT
2021-04-01,AMD
2021-04-01,AMGN
2021-04-01,AMZN
2021-04-01,ANSS
2021-04-01,ASML
2021-04-01,ATVI
2021-04-01,AVGO
2021-04-01,BIDU
2021-04-01,BIIB
2021-04-01,BKNG
2021-04-01,CDNS
2021-04-01,CDW
2021-04-01,CERN
2021-04-01,CHKP
2021-04-01,CHTR
2021-04-01,CMCSA
2021-04-01,COST
2021-04-01,CPRT
2021-04-01,CSCO
2021-04-01,CSX
2021-04-01,CTAS
2021-04-01,CTSH
2021-04-01,DLTR
2021-04-01,DOCU
2021-04-01,DXCM
2021-04-01,EA
2021-04-01,EBAY
2021-04-01,EXC
2021-04-01,FAST
2021-04-01,FB
2021-04-01,FISV
2021-04-01,FOX
2021-04-01,FOXA
2021-04-01,GILD
2021-04-01,GOOG
2021-04-01,GOOGL
2021-04-01,IDXX
2021-04-01,ILMN
2021-04-01,INCY
2021-04-01,INTC
2021-04-01,INTU
2021-04-01,ISRG
2021-04-01,JD
2021-04-01,KDP
2021-04-01,KHC
2021-04-01,KLAC
2021-04-01,LRCX
2021-04-01,LULU
2021-04-01,MAR
2021-04-01,MCHP
2021-04-01,MDLZ
2021-04-01,MELI
2021-04-01,MNST
2021-04-01,MRNA
2021-04-01,MRVL
2021-04-01,MSFT
2021-04-01,MTCH
2021-04-01,MU
2021-04-01,MXIM
2021-04-01,NFLX
2021-04-01,NTES
2021-04-01,NVDA
2021-04-01,NXPI
2021-04-01,OKTA
2021-04-01,ORLY
2021-04-01,PAYX
2021-04-01,PCAR
2021-04-01,PDD
2021-04-01,PEP
2021-04-01,PTON
2021-04-01,PYPL
2021-04-01,QCOM
2021-04-01,REGN
2021-04-01,ROST
2021-04-01,SBUX
2021-04-01,SGEN
2021-04-01,SIRI
2021-04-01,SNPS
2021-04-01,SPLK
2021-04-01,SWKS
2021-04-01,TCOM
2021-04-01,TEAM
2021-04-01,TMUS
2021-04-01,TSLA
2021-04-01,TXN
2021-04-01,VRSK
2021-04-01,VRSN
2021-04-01,VRTX
2021-04-01,WBA
2021-04-01,WDAY
2021-04-01,XEL
2021-04-01,XLNX
2021-04-01,ZM
2021-05-01,AAPL
2021-05-01,ADBE
2021-05-01,ADI
2021-05-01,ADP
2021-05-01,ADSK
2021-05-01,AEP
2021-05-01,ALGN
2021-05-01,ALXN
2021-05-01,AMAT
2021-05-01,AMD
2021-05-01,AMGN
2021-05-01,AMZN
2021-05-01,ANSS
2021-05-01,ASML
2021-05-01,ATVI
2021-05-01,AVGO
2021-05-01,BIDU
2021-05-01,BIIB
2021-05-01,BKNG
2021-05-01,CDNS
2021-05-01,CDW
2021-05-01,CERN
2021-05-01,CHKP
2021-05-01,CHTR
2021-05-01,CMCSA
2021-05-01,COST
2021-05-01,CPRT
2021-05-01,CSCO
2021-05-01,CSX
2021-05-01,CTAS
2021-05-01,CTSH
2021-05-01,DLTR
2021-05-01,DOCU
2021-05-01,DXCM
2021-05-01,EA
2021-05-01,EBAY
2021-05-01,EXC
2021-05-01,FAST
2021-05-01,FB
2021-05-01,FISV
2021-05-01,FOX
2021-05-01,FOXA
2021-05-01,GILD
2021-05-01,GOOG
2021-05-01,GOOGL
2021-05-01,IDXX
2021-05-01,ILMN
2021-05-01,INCY
2021-05-01,INTC
2021-05-01,INTU
2021-05-01,ISRG
2021-05-01,JD
2021-05-01,KDP
2021-05-01,KHC
2021-05-01,KLAC
2021-05-01,LRCX
2021-05-01,LULU
2021-05-01,MAR
2021-05-01,MCHP
2021-05-01,MDLZ
2021-05-01,MELI
2021-05-01,MNST
2021-05-01,MRNA
2021-05-01,MRVL
2021-05-01,MSFT
2021-05-01,MTCH
2021-05-01,MU
2021-05-01,MXIM
2021-05-01,NFLX
2021-05-01,NTES
2021-05-01,NVDA
2021-05-01,NXPI
2021-05-01,OKTA
2021-05-01,ORLY
2021-05-01,PAYX
2021-05-01,PCAR
2021-05-01,PDD
2021-05-01,PEP
2021-05-01,PTON
2021-05-01,PYPL
2021-05-01,QCOM
2021-05-01,REGN
2021-05-01,ROST
2021-05-01,SBUX
2021-05-01,SGEN
2021-05-01,SIRI
2021-05-01,SNPS
2021-05-01,SPLK
2021-05-01,SWKS
2021-05-01,TCOM
2021-05-01,TEAM
2021-05-01,TMUS
2021-05-01,TSLA
2021-05-01,TXN
2021-05-01,VRSK
2021-05-01,VRSN
2021-05-01,VRTX
2021-05-01,WBA
2021-05-01,WDAY
2021-05-01,XEL
2021-05-01,XLNX
2021-05-01,ZM
2021-06-01,AAPL
2021-06-01,ADBE
2021-06-01,ADI
2021-06-01,ADP
2021-06-01,ADSK
2021-06-01,AEP
2021-06-01,ALGN
2021-06-01,ALXN
2021-06-01,AMAT
2021-06-01,AMD
2021-06-01,AMGN
2021-06-01,AMZN
2021-06-01,ANSS
2021-06-01,ASML
2021-06-01,ATVI
2021-06-01,AVGO
2021-06-01,BIDU
2021-06-01,BIIB
2021-06-01,BKNG
2021-06-01,CDNS
2021-06-01,CDW
2021-06-01,CERN
2021-06-01,CHKP
2021-06-01,CHTR
2021-06-01,CMCSA
2021-06-01,COST
2021-06-01,CPRT
2021-06-01,CSCO
2021-06-01,CSX
2021-06-01,CTAS
2021-06-01,CTSH
2021-06-01,DLTR
2021-06-01,DOCU
2021-06-01,DXCM
2021-06-01,EA
2021-06-01,EBAY
2021-06-01,EXC
2021-06-01,FAST
2021-06-01,FB
2021-06-01,FISV
2021-06-01,FOX
2021-06-01,FOXA
2021-06-01,GILD
2021-06-01,GOOG
2021-06-01,GOOGL
2021-06-01,IDXX
2021-06-01,ILMN
2021-06-01,INCY
2021-06-01,INTC
2021-06-01,INTU
2021-06-01,ISRG
2021-06-01,JD
2021-06-01,KDP
2021-06-01,KHC
2021-06-01,KLAC
2021-06-01,LRCX
2021-06-01,LULU
2021-06-01,MAR
2021-06-01,MCHP
2021-06-01,MDLZ
2021-06-01,MELI
2021-06-01,MNST
2021-06-01,MRNA
2021-06-01,MRVL
2021-06-01,MSFT
2021-06-01,MTCH
2021-06-01,MU
2021-06-01,MXIM
2021-06-01,NFLX
2021-06-01,NTES
2021-06-01,NVDA
2021-06-01,NXPI
2021-06-01,OKTA
2021-06-01,ORLY
2021-06-01,PAYX
2021-06-01,PCAR
2021-06-01,PDD
2021-06-01,PEP
2021-06-01,PTON
2021-06-01,PYPL
2021-06-01,QCOM
2021-06-01,REGN
2021-06-01,ROST
2021-06-01,SBUX
2021-06-01,SGEN
2021-06-01,SIRI
2021-06-01,SNPS
2021-06-01,SPLK
2021-06-01,SWKS
2021-06-01,TCOM
2021-06-01,TEAM
2021-06-01,TMUS
2021-06-01,TSLA
2021-06-01,TXN
2021-06-01,VRSK
2021-06-01,VRSN
2021-06-01,VRTX
2021-06-01,WBA
2021-06-01,WDAY
2021-06-01,XEL
2021-06-01,XLNX
2021-06-01,ZM
2021-07-01,AAPL
2021-07-01,ADBE
2021-07-01,ADI
2021-07-01,ADP
2021-07-01,ADSK
2021-07-01,AEP
2021-07-01,ALGN
2021-07-01,ALXN
2021-07-01,AMAT
2021-07-01,AMD
2021-07-01,AMGN
2021-07-01,AMZN
2021-07-01,ANSS
2021-07-01,ASML
2021-07-01,ATVI
2021-07-01,AVGO
2021-07-01,BIDU
2021-07-01,BIIB
2021-07-01,BKNG
2021-07-01,CDNS
2021-07-01,CDW
2021-07-01,CERN
2021-07-01,CHKP
2021-07-01,CHTR
2021-07-01,CMCSA
2021-07-01,COST
2021-07-01,CPRT
2021-07-01,CSCO
2021-07-01,CSX
2021-07-01,CTAS
2021-07-01,CTSH
2021-07-01,DLTR
2021-07-01,DOCU
2021-07-01,DXCM
2021-07-01,EA
2021-07-01,EBAY
2021-07-01,EXC
2021-07-01,FAST
2021-07-01,FB
2021-07-01,FISV
2021-07-01,FOX
2021-07-01,FOXA
2021-07-01,GILD
2021-07-01,GOOG
2021-07-01,GOOGL
2021-07-01,IDXX
2021-07-01,ILMN
2021-07-01,INCY
2021-07-01,INTC
2021-07-01,INTU
2021-07-01,ISRG
2021-07-01,JD
2021-07-01,KDP
2021-07-01,KHC
2021-07-01,KLAC
2021-07-01,LRCX
2021-07-01,LULU
2021-07-01,MAR
2021-07-01,MCHP
2021-07-01,MDLZ
2021-07-01,MELI
2021-07-01,MNST
2021-07-01,MRNA
2021-07-01,MRVL
2021-07-01,MSFT
2021-07-01,MTCH
2021-07-01,MU
2021-07-01,MXIM
2021-07-01,NFLX
2021-07-01,NTES
2021-07-01,NVDA
2021-07-01,NXPI
2021-07-01,OKTA
2021-07-01,ORLY
2021-07-01,PAYX
2021-07-01,PCAR
2021-07-01,PDD
2021-07-01,PEP
2021-07-01,PTON
2021-07-01,PYPL
2021-07-01,QCOM
2021-07-01,REGN
2021-07-01,ROST
2021-07-01,SBUX
2021-07-01,SGEN
2021-07-01,SIRI
2021-07-01,SNPS
2021-07-01,SPLK
2021-07-01,SWKS
2021-07-01,TCOM
2021-07-01,TEAM
2021-07-01,TMUS
2021-07-01,TSLA
2021-07-01,TXN
2021-07-01,VRSK
2021-07-01,VRSN
2021-07-01,VRTX
2021-07-01,WBA
2021-07-01,WDAY
